metabolite                                                                                                                                    mean abs shap-value
Sulfoacetate                                                                                                                                  0.004275
N-Succinyl-LL-2,6-diaminoheptanedioate                                                                                                        0.004253
O-Phospho-4-hydroxy-L-threonine                                                                                                               0.004238
(R)-2,3-Dihydroxy-3-methylbutanoate&1-deoxy-D-xylulose&5'-deoxyribose&6,7-Dihydropteridine                                                    0.004204
4-Methyl-2-oxopentanoate&(S)-3-Methyl-2-oxopentanoate                                                                                         0.004182
CTP C9H12N3O14P3                                                                                                                              0.004139
Gamma-glutamyl-putrescine                                                                                                                     0.004087
Bis-molybdenum cofactor                                                                                                                       0.003931
L-Histidinol                                                                                                                                  0.003790
O-Succinylbenzoate                                                                                                                            0.003769
O-Succinyl-L-homoserine                                                                                                                       0.003738
Glycolate C2H3O3                                                                                                                              0.003725
Gamma-hydroxybutyrate                                                                                                                         0.003695
Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)                                                             0.003692
2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate                                                                                 0.003639
UDPglucose&UDP-D-galacto-1,4-furanose&UDPgalactose                                                                                            0.003625
Gamma-L-Glutamyl-L-cysteine                                                                                                                   0.003598
3-Sulfino-L-alanine                                                                                                                           0.003529
Dihydromonapterin-triphosphate&2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate                              0.003514
N-Acetyl-L-glutamate                                                                                                                          0.003478
(S)-2-Acetolactate&4-Hydroxy-2-oxopentanoate&(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one&4,5-dihydroxy-2,3-pentanedione                  0.003397
Quinate                                                                                                                                       0.003349
D-Xylulose 5-phosphate&Alpha-D-Ribose 1-phosphate&D-Arabinose 5-phosphate&Alpha-D-Ribose 5-phosphate&D-Ribulose 5-phosphate                   0.003298
UMP C9H11N2O9P&3  UMP C9H11N2O9P                                                                                                              0.003265
Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol                                                                                            0.003171
(R)-Pantothenate                                                                                                                              0.003155
D-Mannitol&Galactitol&D-Sorbitol                                                                                                              0.003120
L-Lactate&D-Lactate&3-Hydroxypropanoate&D-Glyceraldehyde&Dihydroxyacetone                                                                     0.003062
2-Octaprenylphenol                                                                                                                            0.003059
N8-Acetylspermidine&N1-Acetylspermidine                                                                                                       0.003028
Isocitrate&Citrate&5-Dehydro-4-deoxy-D-glucarate&2,3-Dioxo-L-gulonate&2,5-diketo-D-gluconate                                                  0.002999
Ubiquinone-8                                                                                                                                  0.002994
Decanoate (n-C10:0)                                                                                                                           0.002990
Prephenate&Isochorismate&Chorismate                                                                                                           0.002964
Oxaloacetate                                                                                                                                  0.002961
Phosphatidylserine (didodecanoyl, n-C12:0)                                                                                                    0.002958
4-Amino-2-methyl-5-phosphomethylpyrimidine                                                                                                    0.002952
Carbamoyl phosphate                                                                                                                           0.002927
6-Acetyl-D-glucose                                                                                                                            0.002900
Glutathionylspermidine                                                                                                                        0.002869
D-Galactonate&D-Gluconate&D-Mannonate&L-Idonate&D-Altronate                                                                                   0.002842
Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)                                                                                            0.002841
Beta-Alanine&Sarcosine C3H7NO2&L-Alanine                                                                                                      0.002823
UDP-N-acetyl-D-glucosamine&UDP-N-acetyl-D-galactosamine&UDP-N-acetyl-D-mannosamine                                                            0.002772
L-Fuculose 1-phosphate&L-Rhamnulose 1-phosphate                                                                                               0.002768
L-Lysine                                                                                                                                      0.002759
D-tartrate                                                                                                                                    0.002757
Thymine C5H6N2O2                                                                                                                              0.002709
(R)-Glycerate                                                                                                                                 0.002669
Uridine                                                                                                                                       0.002663
Dopamine                                                                                                                                      0.002663
Propanoyl phosphate                                                                                                                           0.002611
Dihydroneopterin monophosphate                                                                                                                0.002596
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide                                                                                                 0.002577
Deoxyguanosine&Adenosine                                                                                                                      0.002569
Aminoacetaldehyde                                                                                                                             0.002556
L-Tyrosine                                                                                                                                    0.002503
DTDP-L-rhamnose                                                                                                                               0.002499
2,3-dihydroxybenzoylserine                                                                                                                    0.002491
Urate C5H4N4O3                                                                                                                                0.002460
Deoxycytidine                                                                                                                                 0.002422
L-Methionine                                                                                                                                  0.002370
L-Valine&Glycine betaine                                                                                                                      0.002366
Methylisocitrate&2-Methylcitrate&Lipoate                                                                                                      0.002360
3-Aminoacrylate                                                                                                                               0.002349
N-Acetylanthranilate                                                                                                                          0.002333
Iminoaspartate                                                                                                                                0.002293
Butyrate (n-C4:0)                                                                                                                             0.002286
Acetate&Glycolaldehyde                                                                                                                        0.002270
Xanthosine                                                                                                                                    0.002254
L-alanine-D-glutamate&L-alanine-L-glutamate                                                                                                   0.002194
Gamma-glutamyl-gamma aminobutyric acid&N2-Succinyl-L-ornithine                                                                                0.002174
L-Fucose&L-fuculose&L-Rhamnulose&L-Rhamnose                                                                                                   0.002135
CDP-1,2-dioctadec-11-enoylglycerol                                                                                                            0.002132
3-hydroxycinnamic acid&Phenylpyruvate                                                                                                         0.002130
Propionate (n-C3:0)&D-Lactaldehyde&Acetol cytosol                                                                                             0.002085
O-Phospho-L-serine                                                                                                                            0.002083
2,3-Dihydroxybenzoate                                                                                                                         0.002063
Maltotetraose                                                                                                                                 0.002012
3-Carboxy-2-hydroxy-4-methylpentanoate&3-Carboxy-3-hydroxy-4-methylpentanoate                                                                 0.002004
D-Alanyl-D-alanine                                                                                                                            0.001978
